Country Name,GDP
Ukraine,3662.563087
Upper middle income,9589.037874
Uruguay,17688.01501
United States,65279.52903
Uzbekistan,1719.05721
St. Vincent and the Grenadines,7457.239776
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2715.27598
Vanuatu,3102.34679
World,11394.86113
Samoa,4324.101774
Kosovo,4445.890702
"Yemen, Rep.",
South Africa,6001.401121
Zambia,1305.002214
Zimbabwe,1156.154864
